Table Number,Table Name,Code,Shortened Description
Table 7.02,Obstetrics,665.84,OB TRAUMA NEC-POSTPARTUM
Table 7.02,Obstetrics,665.90,OB TRAUMA NOS-UNSPEC
Table 7.02,Obstetrics,665.91,OB TRAUMA NOS-DELIVERED
Table 7.02,Obstetrics,665.92,OB TRAUMA NOS-DEL W P/P
Table 7.02,Obstetrics,665.93,OB TRAUMA NOS-ANTEPARTUM
Table 7.02,Obstetrics,665.94,OB TRAUMA NOS-POSTPARTUM
Table 7.02,Obstetrics,666.00,THIRD-STAGE HEM-UNSPEC
Table 7.02,Obstetrics,666.02,THRD-STAGE HEM-DEL W P/P
Table 7.02,Obstetrics,666.04,THIRD-STAGE HEM-POSTPART
Table 7.02,Obstetrics,666.10,POSTPARTUM HEM NEC-UNSP
Table 7.02,Obstetrics,666.12,POSTPA HEM NEC-DEL W P/P
Table 7.02,Obstetrics,666.14,POSTPART HEM NEC-POSTPAR
Table 7.02,Obstetrics,666.20,DELAY P/PART HEM-UNSPEC
Table 7.02,Obstetrics,666.22,DELAY P/P HEM-DEL W P/P
Table 7.02,Obstetrics,666.24,DELAY P/PART HEM-POSTPAR
Table 7.02,Obstetrics,666.30,POSTPART COAGUL DEF-UNSP
Table 7.02,Obstetrics,666.32,P/P COAG DEF-DEL W P/P
Table 7.02,Obstetrics,666.34,POSTPART COAG DEF-POSTPA
Table 7.02,Obstetrics,667.00,RETAIN PLACENTA NOS-UNSP
Table 7.02,Obstetrics,667.02,RETND PLAC NOS-DEL W P/P
Table 7.02,Obstetrics,667.04,RETAIN PLAC NOS-POSTPART
Table 7.02,Obstetrics,667.10,RETAIN PROD CONCEPT-UNSP
Table 7.02,Obstetrics,667.12,RET PROD CONC-DEL W P/P
Table 7.02,Obstetrics,667.14,RET PROD CONCEPT-POSTPAR
Table 7.02,Obstetrics,668.00,PULM COMPL IN DEL-UNSPEC
Table 7.02,Obstetrics,668.01,PULM COMPL IN DEL-DELIV
Table 7.02,Obstetrics,668.02,PULM COMPLIC-DEL W P/P
Table 7.02,Obstetrics,668.10,HEART COMPL IN DEL-UNSP
Table 7.02,Obstetrics,668.11,HEART COMPL IN DEL-DELIV
Table 7.02,Obstetrics,668.12,HEART COMPL-DEL W P/P
Table 7.02,Obstetrics,668.20,CNS COMPL LABOR/DEL-UNSP
Table 7.02,Obstetrics,668.21,CNS COMPL LAB/DEL-DELIV
Table 7.02,Obstetrics,668.22,CNS COMPLIC-DEL W P/P
Table 7.02,Obstetrics,668.80,ANESTH COMP DEL NEC-UNSP
Table 7.02,Obstetrics,668.81,ANESTH COMPL NEC-DELIVER
Table 7.02,Obstetrics,668.82,ANESTH COMPL NEC-DEL P/P
Table 7.02,Obstetrics,668.83,ANESTH COMPL ANTEPARTUM
Table 7.02,Obstetrics,668.84,ANESTH COMPL-POSTPARTUM  
Table 7.02,Obstetrics,668.90,ANESTH COMP DEL NOS-UNSP
Table 7.02,Obstetrics,668.91,ANESTH COMPL NOS-DELIVER
Table 7.02,Obstetrics,668.92,ANESTH COMPL NOS-DEL P/P
Table 7.02,Obstetrics,668.93,ANESTH COMPL-ANTEPARTUM
Table 7.02,Obstetrics,668.94,ANESTH COMPL-POSTPARTUM
Table 7.02,Obstetrics,669.00,MATERNAL DISTRESS-UNSPEC
Table 7.02,Obstetrics,669.01,MATERNAL DISTRESS-DELIV
Table 7.02,Obstetrics,669.02,MATERN DISTRES-DEL W P/P
Table 7.02,Obstetrics,669.03,MATERN DISTRESS-ANTEPAR
Table 7.02,Obstetrics,669.04,MATERN DISTRESS-POSTPART
Table 7.02,Obstetrics,669.10,OBSTETRIC SHOCK-UNSPEC
Table 7.02,Obstetrics,669.11,OBSTETRIC SHOCK-DELIVER
Table 7.02,Obstetrics,669.12,OBSTET SHOCK-DELIV W P/P
Table 7.02,Obstetrics,669.20,MATERN HYPOTENS SYN-UNSP
Table 7.02,Obstetrics,669.21,MATERN HYPOTEN SYN-DELIV
Table 7.02,Obstetrics,669.22,MATERN HYPOTEN-DEL W P/P
Table 7.02,Obstetrics,669.23,MATERN HYPOTENS-ANTEPAR
Table 7.02,Obstetrics,669.24,MATERN HYPOTENS-POSTPART
Table 7.02,Obstetrics,669.30,AC KIDNY FAIL W DEL-UNSP
Table 7.02,Obstetrics,669.32,AC KIDNEY FAIL-DEL W P/P
Table 7.02,Obstetrics,669.40,OTH OB SURG COMPL-UNSPEC
Table 7.02,Obstetrics,669.41,OTH OB COMPL-DELIVERED
Table 7.02,Obstetrics,669.42,OTH OB COMPL-DELIV W P/P
Table 7.02,Obstetrics,669.43,COMPLC OB SURG ANTEPRTM
Table 7.02,Obstetrics,669.44,OTH OB SURG COMPL-POSTPA
Table 7.02,Obstetrics,669.50,FORCEP DELIV NOS-UNSPEC
Table 7.02,Obstetrics,669.51,FORCEP DELIV NOS-DELIVER
Table 7.02,Obstetrics,669.60,BREECH EXTR NOS-UNSPEC
Table 7.02,Obstetrics,669.61,BREECH EXTR NOS-DELIVER
Table 7.02,Obstetrics,669.70,CESAREAN DELIV NOS-UNSP 
Table 7.02,Obstetrics,669.71,CESAREAN DELIVERY NOS
Table 7.02,Obstetrics,669.80,COMPL LAB/DELIV NEC-UNSP
Table 7.02,Obstetrics,669.81,COMP LAB/DELIV NEC-DELIV
Table 7.02,Obstetrics,669.82,COMPL DEL NEC-DEL W P/P
Table 7.02,Obstetrics,669.83,COMPL DELIV NEC-ANTEPAR
Table 7.02,Obstetrics,669.84,COMPL DELIV NEC-POSTPART
Table 7.02,Obstetrics,669.90,COMPL LAB/DELIV NOS-UNSP
Table 7.02,Obstetrics,669.91,COMP LAB/DELIV NOS-DELIV
Table 7.02,Obstetrics,669.92,COMPL DEL NOS-DEL W P/P
Table 7.02,Obstetrics,669.93,COMPL DELIV NOS-ANTEPAR
Table 7.02,Obstetrics,669.94,COMPL DELIV NOS-POSTPART
Table 7.02,Obstetrics,670.00,MAJ PUERP INF NOS-UNSP
Table 7.02,Obstetrics,670.02,MAJ PUER INF NOS-DEL P/P
Table 7.02,Obstetrics,670.04,MAJOR PUERP INF NOS-P/P
Table 7.02,Obstetrics,671.00,VARIC VEIN LEG PREG-UNSP
Table 7.02,Obstetrics,671.01,VARICOSE VEIN LEG-DELIV
Table 7.02,Obstetrics,671.02,VARIC VEIN LEG-DEL W P/P
Table 7.02,Obstetrics,671.10,VARIC VULVA PREG-UNSPEC
Table 7.02,Obstetrics,671.11,VARICOSE VULVA-DELIVERED
Table 7.02,Obstetrics,671.12,VARICOSE VULVA-DEL W P/P
Table 7.02,Obstetrics,671.20,THROMBOPHLEB PREG-UNSPEC
Table 7.02,Obstetrics,671.21,THROMBOPHLEBITIS-DELIVER
Table 7.02,Obstetrics,671.22,THROMBOPHLEB-DELIV W P/P
Table 7.02,Obstetrics,671.80,VENOUS COMPL NEC-UNSPEC
Table 7.02,Obstetrics,671.81,VENOUS COMPL NEC-DELIVER
Table 7.02,Obstetrics,671.82,VEN COMP NEC-DELIV W P/P
Table 7.02,Obstetrics,672.00,PUERPERAL PYREXIA-UNSPEC
Table 7.02,Obstetrics,672.02,PUERP PYREXIA-DEL W P/P
Table 7.02,Obstetrics,673.00,OB AIR EMBOLISM-UNSPEC
Table 7.02,Obstetrics,673.01,OB AIR EMBOLISM-DELIVER
Table 7.02,Obstetrics,673.02,OB AIR EMBOL-DELIV W P/P
Table 7.02,Obstetrics,673.10,AMNIOTIC EMBOLISM-UNSPEC
Table 7.02,Obstetrics,673.11,AMNIOTIC EMBOLISM-DELIV
Table 7.02,Obstetrics,673.12,AMNIOT EMBOL-DELIV W P/P
Table 7.02,Obstetrics,673.30,OB PYEMIC EMBOL-UNSPEC
Table 7.02,Obstetrics,673.31,OB PYEMIC EMBOL-DELIVER
Table 7.02,Obstetrics,673.32,OB PYEM EMBOL-DEL W P/P
Table 7.02,Obstetrics,673.33,OB PYEMIC EMBOL-ANTEPART
Table 7.02,Obstetrics,673.34,OB PYEMIC EMBOL-POSTPART
Table 7.02,Obstetrics,673.80,PULMON EMBOL NEC-UNSP
Table 7.02,Obstetrics,673.81,PULMON EMBOL NEC-DELIVER
Table 7.02,Obstetrics,673.82,PULM EMBOL NEC-DEL W P/P
Table 7.02,Obstetrics,674.00,PUERP CEREBVASC DIS-UNSP
Table 7.02,Obstetrics,674.01,PUERP CEREBVAS DIS-DELIV
Table 7.02,Obstetrics,674.02,CEREBVAS DIS-DELIV W P/P
Table 7.02,Obstetrics,674.10,DISRUPT C-SECT WND-UNSP
Table 7.02,Obstetrics,674.12,DISRUPT C-SECT-DEL W P/P
Table 7.02,Obstetrics,674.20,DISRUPT PERINEUM-UNSPEC
Table 7.02,Obstetrics,674.22,DISRUPT PERIN-DEL W P/P
Table 7.02,Obstetrics,674.30,OB SURG COMPL NEC-UNSPEC
Table 7.02,Obstetrics,674.32,OB SURG COMPL-DEL W P/P
Table 7.02,Obstetrics,674.40,PLACENTAL POLYP-UNSPEC
Table 7.02,Obstetrics,674.42,PLACENT POLYP-DEL W P/P
Table 7.02,Obstetrics,674.50,PERIPART CARDIOMY-UNSPEC
Table 7.02,Obstetrics,674.51,PERIPARTUM CARDIOMY-DEL
Table 7.02,Obstetrics,674.52,PERIPART CARD DEL W P/P
Table 7.02,Obstetrics,674.80,PUERP COMPL NEC-UNSPEC
Table 7.02,Obstetrics,674.82,PUERP COMP NEC-DEL W P/P
Table 7.02,Obstetrics,674.90,PUERP COMPL NOS-UNSPEC
Table 7.02,Obstetrics,674.92,PUERP COMP NOS-DEL W P/P
Table 7.02,Obstetrics,675.00,INFECT NIPPLE PREG-UNSP
Table 7.02,Obstetrics,675.01,INFECT NIPPLE-DELIVERED
Table 7.02,Obstetrics,675.02,INFECT NIPPLE-DEL W P/P
Table 7.02,Obstetrics,675.10,BREAST ABSCESS PREG-UNSPEC
Table 7.02,Obstetrics,675.11,BREAST ABSCESS-DELIVERED
Table 7.02,Obstetrics,675.12,BREAST ABSCESS-DEL W P/P
Table 7.02,Obstetrics,675.20,MASTITIS IN PREG-UNSPEC
Table 7.02,Obstetrics,675.21,MASTITIS-DELIVERED
Table 7.02,Obstetrics,675.22,MASTITIS-DELIV W P/P
Table 7.02,Obstetrics,675.80,BREAST INF PREG NEC-UNSPEC
Table 7.02,Obstetrics,675.81,BREAST INFECT NEC-DELIV
Table 7.02,Obstetrics,675.82,BREAST INF NEC-DEL W P/P
Table 7.02,Obstetrics,675.90,BREAST INF PREG NOS-UNSP
Table 7.02,Obstetrics,675.91,BREAST INFECT NOS-DELIV
Table 7.02,Obstetrics,675.92,BREAST INF NOS-DEL W P/P
Table 7.02,Obstetrics,676.00,RETRACT NIPPLE PREG-UNSP
Table 7.02,Obstetrics,676.01,RETRACTED NIPPLE-DELIV
Table 7.02,Obstetrics,676.02,RETRACT NIPPLE-DEL W P/P
Table 7.02,Obstetrics,676.03,RETRACT NIPPLE-ANTEPART
Table 7.02,Obstetrics,676.04,RETRACT NIPPLE-POSTPART
Table 7.02,Obstetrics,676.10,CRACKED NIPPLE PREG-UNSP
Table 7.02,Obstetrics,676.11,CRACKED NIPPLE-DELIV
Table 7.02,Obstetrics,676.12,CRACKED NIPPLE-DEL W P/P
Table 7.02,Obstetrics,676.13,CRACKED NIPPLE-ANTEPART
Table 7.02,Obstetrics,676.14,CRACKED NIPPLE-POSTPART
Table 7.02,Obstetrics,676.20,BREAST ENGORGE-UNSPEC
Table 7.02,Obstetrics,676.21,BREAST ENGORGE-DELIV
Table 7.02,Obstetrics,676.22,BREAST ENGORGE-DEL W P/P
Table 7.02,Obstetrics,676.23,BREAST ENGORGE-ANTEPART
Table 7.02,Obstetrics,676.24,BREAST ENGORGE-POSTPART
Table 7.02,Obstetrics,676.30,BREAST DIS PREG NEC-UNSP
Table 7.02,Obstetrics,676.31,BREAST DIS NEC-DELIV
Table 7.02,Obstetrics,676.32,BREAST DIS NEC-DEL W P/P
Table 7.02,Obstetrics,676.33,BREAST DIS NEC-ANTEPART
Table 7.02,Obstetrics,676.34,BREAST DIS NEC-POSTPART
Table 7.02,Obstetrics,676.40,LACTATION FAIL-UNSPEC
Table 7.02,Obstetrics,676.41,LACTATION FAIL-DELIVERED
Table 7.02,Obstetrics,676.42,LACTATION FAIL-DEL W P/P
Table 7.02,Obstetrics,676.43,LACTATION FAILURE-ANTEPART
Table 7.02,Obstetrics,676.44,LACTATION FAILURE-POSTPART
Table 7.02,Obstetrics,676.50,SUPPR LACTATION-UNSPEC
Table 7.02,Obstetrics,676.51,SUPPR LACTATION-DELIVER
Table 7.02,Obstetrics,676.52,SUPPR LACTAT-DEL W P/P
Table 7.02,Obstetrics,676.53,SUPPR LACTATION-ANTEPAR
Table 7.02,Obstetrics,676.54,SUPPR LACTATION-POSTPART
Table 7.02,Obstetrics,676.60,GALACTORRHEA PREG-UNSPEC
Table 7.02,Obstetrics,676.61,GALACTORRHEA-DELIVERED
Table 7.02,Obstetrics,676.62,GALACTORRHEA-DEL W P/P
Table 7.02,Obstetrics,676.63,GALACTORRHEA-ANTEPARTUM
Table 7.02,Obstetrics,676.64,GALACTORRHEA-POSTPARTUM
Table 7.02,Obstetrics,676.80,LACTATION DIS NEC-UNSPEC
Table 7.02,Obstetrics,676.81,LACTATION DIS NEC-DELIV
Table 7.02,Obstetrics,676.82,LACTAT DIS NEC-DEL W P/P
Table 7.02,Obstetrics,676.83,LACTAT DIS NEC-ANTEPART
Table 7.02,Obstetrics,676.84,LACTAT DIS NEC-POSTPART
Table 7.02,Obstetrics,676.90,LACTATION DIS NOS-UNSPEC
Table 7.02,Obstetrics,676.91,LACTATION DIS NOS-DELIV
Table 7.02,Obstetrics,676.92,LACTAT DIS NOS-DEL W P/P
Table 7.02,Obstetrics,676.93,LACTAT DIS NOS-ANTEPART
Table 7.02,Obstetrics,676.94,LACTAT DIS NOS-POSTPART
Table 7.02,Obstetrics,677,LATE EFFECT CMPLCATN PREG
Table 7.03,Venous Thromboembolism (VTE),415.11,IATROGEN PULM EMB/INFARC
Table 7.03,Venous Thromboembolism (VTE),415.13,SADDLE EMBOL PULMON ART
Table 7.03,Venous Thromboembolism (VTE),415.19,PULM EMBOL/INFARCT NEC
Table 7.03,Venous Thromboembolism (VTE),451.11,FEMORAL VEIN PHLEBITIS
Table 7.03,Venous Thromboembolism (VTE),451.19,DEEP PHLEBITIS-LEG NEC
Table 7.03,Venous Thromboembolism (VTE),451.2,THROMBOPHLEBITIS LEG NOS
Table 7.03,Venous Thromboembolism (VTE),451.81,ILIAC THROMBOPHLEBITIS
Table 7.03,Venous Thromboembolism (VTE),451.9,THROMBOPHLEBITIS NOS
Table 7.03,Venous Thromboembolism (VTE),453.2,OTH INF VENA CAVA THROMB
Table 7.03,Venous Thromboembolism (VTE),453.40,DVT/EMBLSM LOWER EXT NOS
Table 7.03,Venous Thromboembolism (VTE),453.41,DVT/EMB PROX LOWER EXT
Table 7.03,Venous Thromboembolism (VTE),453.87,AC EMBL THORAC VEIN NEC
Table 7.03,Venous Thromboembolism (VTE),453.89,AC EMBOLISM VEINS NEC
Table 7.03,Venous Thromboembolism (VTE),453.9,VENOUS THROMBOSIS NOS
Table 7.04,Obstetrics - VTE,634.60,SPON ABORT W EMBOL-UNSPEC
Table 7.04,Obstetrics - VTE,634.61,SPON ABORT W EMBOL-INC
Table 7.04,Obstetrics - VTE,634.62,SPON ABORT W EMBOL-COMP
Table 7.04,Obstetrics - VTE,635.60,LEGAL ABORT W EMBOL-UNSPEC
Table 7.04,Obstetrics - VTE,635.61,LEGAL ABORT W EMBOL-INC
Table 7.04,Obstetrics - VTE,635.62,LEGAL ABORT W EMBOL-COMP
Table 7.04,Obstetrics - VTE,636.60,ILLEG AB W EMBOLISM-UNSPEC
Table 7.04,Obstetrics - VTE,636.61,ILLEG AB W EMBOLISM-INC
Table 7.04,Obstetrics - VTE,636.62,ILLEG AB W EMBOLISM-COMP
Table 7.04,Obstetrics - VTE,637.60,AB NOS W EMBOLISM-UNSP
Table 7.04,Obstetrics - VTE,637.61,AB NOS W EMBOLISM-INC
Table 7.04,Obstetrics - VTE,637.62,AB NOS W EMBOLISM-COMP
Table 7.04,Obstetrics - VTE,638.6,ATTEMP ABORT W EMBOLISM 
Table 7.04,Obstetrics - VTE,639.6,POSTABORTION EMBOLISM
Table 7.04,Obstetrics - VTE,671.30,DEEP THROMB ANTEPAR-UNSPEC 
Table 7.04,Obstetrics - VTE,671.31,DEEP THROM ANTEPAR-DELIV
Table 7.04,Obstetrics - VTE,671.33,DEEP VEIN THROMB-ANTEPAR
Table 7.04,Obstetrics - VTE,671.40,DEEP THROMB POSTPAR-UNSPEC 
Table 7.04,Obstetrics - VTE,671.42,THROMB POSTPAR-DEL W P/P
Table 7.04,Obstetrics - VTE,671.44,DEEP VEIN THROMB-POSTPAR
Table 7.04,Obstetrics - VTE,671.50,THROMBOSIS NEC PREG-UNSPEC
Table 7.04,Obstetrics - VTE,671.51,THROMBOSIS NEC-DELIV
Table 7.04,Obstetrics - VTE,671.52,THROMB NEC-DELIV W P/P
Table 7.04,Obstetrics - VTE,671.53,THROMBOSIS NEC-ANTEPART
Table 7.04,Obstetrics - VTE,671.54,THROMBOSIS NEC-POSTPART
Table 7.04,Obstetrics - VTE,671.90,VEN COMPL PREG NOS-UNSPEC
Table 7.04,Obstetrics - VTE,671.91,VENOUS COMPL NOS-DELIVER
Table 7.04,Obstetrics - VTE,671.92,VEN COMP NOS-DELIV W P/P
Table 7.04,Obstetrics - VTE,671.93, VENOUS COMPL NOS-ANTEPAR
Table 7.04,Obstetrics - VTE,671.94,VENOUS COMPL NOS-POSTPAR
Table 7.04,Obstetrics - VTE,673.20,OB PULM EMBOL NOS-UNSPEC 
Table 7.04,Obstetrics - VTE,673.21,PULM EMBOL NOS-DELIV 
Table 7.04,Obstetrics - VTE,673.22,PULM EMBOL NOS-DELIV W P/P
Table 7.04,Obstetrics - VTE,673.23,PULM EMBOL NOS-ANTEPART
Table 7.04,Obstetrics - VTE,673.24,PULM EMBOL NOS-POSTPART
Table 8.1,Ischemic Stroke,433.01,OCL BSLR ART W INFRCT
Table 8.1,Ischemic Stroke,433.10,OCL CRTD ART WO INFRCT
Table 8.1,Ischemic Stroke,433.11,OCL CRTD ART W INFRCT
Table 8.1,Ischemic Stroke,433.21,OCL VRTB ART W INFRCT
Table 8.1,Ischemic Stroke,433.31,OCL MLT BI ART W INFRCT
Table 8.1,Ischemic Stroke,433.81,OCL SPCF ART W INFRCT
Table 8.1,Ischemic Stroke,433.91,OCL ART NOS W INFRCT
Table 8.1,Ischemic Stroke,434.00,CRBL THRMBS WO INFRCT
Table 8.1,Ischemic Stroke,434.01,CRBL THRMBS W INFRCT
Table 8.1,Ischemic Stroke,434.11,CRBL EMBLSM W INFRCT
Table 8.1,Ischemic Stroke,434.91,CRBL ART OCL NOS W INFRC
Table 8.1,Ischemic Stroke,436,CVA
Table 8.2,Hemorrhagic Stroke,430,SUBARACHNOID HEMORRHAGE
Table 8.2,Hemorrhagic Stroke,431,INTRACEREBRAL HEMORRHAGE
Table 12.1,Diabetes,250.00,DMII WO CMP NT ST UNCNTR
Table 12.1,Diabetes,250.01,DMI WO CMP NT ST UNCNTRL
Table 12.1,Diabetes,250.02,DMII WO CMP UNCNTRLD
Table 12.1,Diabetes,250.03,DMI WO CMP UNCNTRLD
Table 12.1,Diabetes,250.10,DMII KETO NT ST UNCNTRLD
Table 12.1,Diabetes,250.11,DMI KETO NT ST UNCNTRLD
Table 12.1,Diabetes,250.12,DMII KETOACD UNCONTROLD
Table 12.1,Diabetes,250.13,DMI KETOACD UNCONTROLD
Table 12.1,Diabetes,250.20,DMII HPRSM NT ST UNCNTRL
Table 12.1,Diabetes,250.21,DMI HPRSM NT ST UNCNTRLD
Table 12.1,Diabetes,250.22,DMII HPROSMLR UNCONTROLD
Table 12.1,Diabetes,250.23,DMI HPROSMLR UNCONTROLD
Table 12.1,Diabetes,250.30,DMII O CM NT ST UNCNTRLD
Table 12.1,Diabetes,250.31,DMI O CM NT ST UNCNTRLD
Table 12.1,Diabetes,250.32,DMII OTH COMA UNCONTROLD
Table 12.1,Diabetes,250.33,DMI OTH COMA UNCONTROLD
Table 12.1,Diabetes,250.40,DMII RENL NT ST UNCNTRLD
Table 12.1,Diabetes,250.41,DMI RENL NT ST UNCNTRLD
Table 12.1,Diabetes,250.42,DMII RENAL UNCNTRLD
Table 12.1,Diabetes,250.43,DMI RENAL UNCNTRLD
Table 12.1,Diabetes,250.50,DMII OPHTH NT ST UNCNTRL
Table 12.1,Diabetes,250.51,DMI OPHTH NT ST UNCNTRLD
Table 12.1,Diabetes,250.52,DMII OPHTH UNCNTRLD
Table 12.1,Diabetes,250.53,DMI OPHTH UNCNTRLD
Table 12.1,Diabetes,250.60,DMII NEURO NT ST UNCNTRL
Table 12.1,Diabetes,250.61,DMI NEURO NT ST UNCNTRLD
Table 12.1,Diabetes,250.62,DMII NEURO UNCNTRLD
Table 12.1,Diabetes,250.63,DMI NEURO UNCNTRLD
Table 12.1,Diabetes,250.70,DMII CIRC NT ST UNCNTRLD
Table 12.1,Diabetes,250.71,DMI CIRC NT ST UNCNTRLD
Table 12.1,Diabetes,250.72,DMII CIRC UNCNTRLD
Table 12.1,Diabetes,250.73,DMI CIRC UNCNTRLD
Table 12.1,Diabetes,250.80,DMII OTH NT ST UNCNTRLD
Table 12.1,Diabetes,250.81,DMI OTH NT ST UNCNTRLD
Table 12.1,Diabetes,250.82,DMII OTH UNCNTRLD
Table 12.1,Diabetes,250.83,DMI OTH UNCNTRLD
Table 12.1,Diabetes,250.90,DMII UNSPF NT ST UNCNTRL
Table 12.1,Diabetes,250.91,DMI UNSPF NT ST UNCNTRLD
Table 12.1,Diabetes,250.92,DMII UNSPF UNCNTRLD
Table 12.1,Diabetes,250.93,DMI UNSPF UNCNTRLD
Table 12.1,Diabetes,357.2,NEUROPATHY IN DIABETES
Table 12.1,Diabetes,362.01,DIABETIC RETINOPATHY NOS
Table 12.1,Diabetes,366.41,DIABETIC CATARACT
Table 12.1,Diabetes,648.00,DIABETES IN PREG-UNSPEC
Table 12.1,Diabetes,648.01,DIABETES-DELIVERED
Table 12.1,Diabetes,648.02,DIABETES-DELIVERED W P/P
Table 12.1,Diabetes,648.03,DIABETES-ANTEPARTUM
Table 12.1,Diabetes,648.04,DIABETES-POSTPARTUM
Table 12.2,End-Stage Renal Disease (ESRD),585.6,END STAGE RENAL DISEASE
Table 12.3,Pregnancy,640.00,THREATENED ABORT-UNSPEC
Table 12.3,Pregnancy,640.03,THREATEN ABORT-ANTEPART
Table 12.3,Pregnancy,640.90,HEMORR EARLY PREG-UNSPEC
Table 12.3,Pregnancy,640.93,HEM EARLY PREG-ANTEPART
Table 12.3,Pregnancy,641.00,PLACENTA PREVIA-UNSPEC
Table 12.3,Pregnancy,641.03,PLACENTA PREVIA-ANTEPART
Table 12.3,Pregnancy,641.10,PLACENTA PREV HEM-UNSPEC
Table 12.3,Pregnancy,641.13,PLACEN PREV HEM-ANTEPART
Table 12.3,Pregnancy,641.20,PREM SEPAR PLACEN-UNSPEC
Table 12.3,Pregnancy,641.23,PREM SEPAR PLAC-ANTEPART
Table 12.3,Pregnancy,641.80,ANTEPART HEM NEC-UNSPEC
Table 12.3,Pregnancy,641.83,ANTEPART HEM NEC-ANTEPAR
Table 12.3,Pregnancy,641.90,ANTEPART HEM NOS-UNSPEC
Table 12.3,Pregnancy,641.93,ANTEPART HEM NOS-ANTEPAR
Table 12.3,Pregnancy,642.00,ESSEN HYPERTEN PREG-UNSP
Table 12.3,Pregnancy,642.03,ESSEN HYPERTEN-ANTEPART
Table 12.3,Pregnancy,642.10,RENAL HYPERTEN PREG-UNSP
Table 12.3,Pregnancy,642.20,OLD HYPERTEN PREG-UNSPEC
Table 12.3,Pregnancy,642.23,OLD HYPERTEN NEC-ANTEPAR
Table 12.3,Pregnancy,642.30,TRANS HYPERTEN PREG-UNSP
Table 12.3,Pregnancy,642.33,TRANS HYPERTEN-ANTEPART
Table 12.3,Pregnancy,642.40,MILD/NOS PREECLAMP-UNSP
Table 12.3,Pregnancy,642.43,MILD/NOS PREECLAMP-ANTEP
Table 12.3,Pregnancy,642.50,SEVERE PREECLAMP-UNSPEC
Table 12.3,Pregnancy,642.53,SEV PREECLAMP-ANTEPARTUM
Table 12.3,Pregnancy,642.60,ECLAMPSIA-UNSPECIFIED
Table 12.3,Pregnancy,642.63,ECLAMPSIA-ANTEPARTUM
Table 12.3,Pregnancy,642.70,TOX W OLD HYPERTEN-UNSP
Table 12.3,Pregnancy,642.73,TOX W OLD HYPER-ANTEPART
Table 12.3,Pregnancy,642.90,HYPERTEN PREG NOS-UNSPEC
Table 12.3,Pregnancy,642.93,HYPERTENS NOS-ANTEPARTUM
Table 12.3,Pregnancy,643.00,MILD HYPEREM GRAV-UNSPEC
Table 12.3,Pregnancy,643.03,MILD HYPEREMESIS-ANTEPAR
Table 12.3,Pregnancy,643.10,HYPEREM W METAB DIS-UNSP
Table 12.3,Pregnancy,643.13,HYPEREM W METAB-ANTEPART
Table 12.3,Pregnancy,643.20,LATE VOMIT OF PREG-UNSP
Table 12.3,Pregnancy,643.23,LATE VOMIT PREG-ANTEPART
Table 12.3,Pregnancy,643.80,VOMIT COMPL PREG-UNSPEC
Table 12.3,Pregnancy,643.83,VOMIT COMPL PREG-ANTEPAR
Table 12.3,Pregnancy,643.90,VOMIT OF PREG NOS-UNSPEC
Table 12.3,Pregnancy,643.93,VOMIT OF PG NOS-ANTEPART
Table 12.3,Pregnancy,644.00,THREAT PREM LABOR-UNSPEC
Table 12.3,Pregnancy,644.03,THRT PREM LABOR-ANTEPART
Table 12.3,Pregnancy,644.10,THREAT LABOR NEC-UNSPEC
Table 12.3,Pregnancy,644.13,THREAT LABOR NEC-ANTEPAR
Table 12.3,Pregnancy,644.20,EARLY ONSET DELIV-UNSPEC
Table 12.3,Pregnancy,645.10,POST TERM PREG-UNSP
Table 12.3,Pregnancy,645.13,POST TERM PREG-ANTEPAR
Table 12.3,Pregnancy,645.20,PROLONGED PREG-UNSP
Table 12.3,Pregnancy,645.23,PROLONGED PREG-ANTEPAR
Table 12.3,Pregnancy,646.00,PAPYRACEOUS FETUS-UNSPEC
Table 12.3,Pregnancy,646.03,PAPYRACEOUS FET-ANTEPAR
Table 12.3,Pregnancy,646.10,EDEMA IN PREG-UNSPEC
Table 12.3,Pregnancy,646.13,EDEMA IN PREG-ANTEPARTUM
Table 12.3,Pregnancy,646.20,RENAL DIS PREG NOS-UNSP
Table 12.3,Pregnancy,646.23,RENAL DIS NOS-ANTEPARTUM
Table 12.3,Pregnancy,646.30,RECUR PREG LOSS-UNSPEC
Table 12.3,Pregnancy,646.33,RECURNT PREG LOSS-ANTEP
Table 12.3,Pregnancy,646.40,NEURITIS OF PREG-UNSPEC
Table 12.3,Pregnancy,646.43,NEURITIS OF PREG-ANTEPAR
Table 12.3,Pregnancy,646.50,BACTERIURIA PREG-UNSPEC
Table 12.3,Pregnancy,646.53,ASY BACTERIURIA-ANTEPART
Table 12.3,Pregnancy,646.60,GU INFECT IN PREG-UNSPEC
Table 12.3,Pregnancy,646.63,GU INFECTION-ANTEPARTUM
Table 12.3,Pregnancy,646.70,LIVER/BIL TRCT DISR-UNSP
Table 12.3,Pregnancy,646.73,LIVER/BIL TRCT DISR-ANTE
Table 12.3,Pregnancy,646.80,PREG COMPL NEC-UNSPEC
Table 12.3,Pregnancy,646.83,PREG COMPL NEC-ANTEPART
Table 12.3,Pregnancy,646.90,PREG COMPL NOS-UNSPEC
Table 12.3,Pregnancy,646.93,PREG COMPL NOS-ANTEPART
Table 12.3,Pregnancy,647.00,SYPHILIS IN PREG-UNSPEC
